             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
       14834623_21    medium Tong_Bom otsutaka  R    4:07:16      1 m01
       14834623_20    medium Tong_Bom otsutaka  R    4:51:49      1 m01
       14834623_19    medium Tong_Bom otsutaka  R    5:11:50      1 m01
       14834623_18    medium Tong_Bom otsutaka  R    5:38:51      1 m01
       14834623_17    medium Tong_Bom otsutaka  R    6:10:24      1 m01
       14834623_16    medium Tong_Bom otsutaka  R    6:40:56      1 m01
       14834623_15    medium Tong_Bom otsutaka  R    7:30:31      1 m01
       14834623_14    medium Tong_Bom otsutaka  R    7:44:32      1 m01
        14836706_0    medium Kim2022_ otsutaka  R    6:58:28      1 m03
       14834623_13    medium Tong_Bom otsutaka  R    8:07:04      1 m01
       14834623_12    medium Tong_Bom otsutaka  R    8:10:34      1 m01
       14834623_11    medium Tong_Bom otsutaka  R    8:12:04      1 m01
          14834600    medium GERP_WAS otsutaka  R   17:55:49      1 m03
       14834623_23    medium Tong_Bom otsutaka  R    2:26:40      1 m01
        14789949_1    medium gfe_gene mizukura  R 6-16:00:03      1 m03
          14838929 medium,ro   Gridss   ehondo PD       0:00      1 (Priority)
  14834623_[24-72] medium,ro Tong_Bom otsutaka PD       0:00      1 (Priority)
        14836706_4 medium,ro Kim2022_ otsutaka PD       0:00      1 (Priority)
14675696_[118-2536      rome AF2_Scan  chicest PD       0:00      1 (Resources)
          14679833      rome   orf528   isogai PD       0:00      1 (Priority)
          14679834      rome   orf560   isogai PD       0:00      1 (Priority)
          14796978      rome hifiasm_ takahiro PD       0:00      1 (Priority)
          14817098      rome      ex1    mhaku  R 2-13:18:02      1 at145
          14838773      rome Sjap_Rep kosukesa  R    1:09:28      1 at139
          14838967      rome   iqtree kosukesa  R      19:24      1 at145
      14601308_536      rome gfe_tran mizukura  R   22:38:24      1 at143
      14675696_117      rome AF2_Scan  chicest  R    2:45:07      1 at139
          14820933      rome alphafol ma_okuma  R 2-17:51:32      1 at142
      14675696_116      rome AF2_Scan  chicest  R    7:02:43      1 at139
      14601308_638      rome gfe_tran mizukura  R      16:59      1 at140
      14601308_637      rome gfe_tran mizukura  R      18:59      1 at145
      14601308_636      rome gfe_tran mizukura  R      42:31      1 at141
      14601308_635      rome gfe_tran mizukura  R      48:02      1 at141
      14601308_634      rome gfe_tran mizukura  R    1:42:07      1 at140
      14601308_633      rome gfe_tran mizukura  R    1:46:37      1 at140
      14601308_632      rome gfe_tran mizukura  R    2:28:40      1 at143
      14601308_631      rome gfe_tran mizukura  R    2:39:41      1 at141
      14601308_630      rome gfe_tran mizukura  R    2:50:12      1 at141
      14601308_629      rome gfe_tran mizukura  R    3:05:43      1 at142
      14601308_627      rome gfe_tran mizukura  R    3:32:44      1 at141
